,ConvertedCompYearly
1209,53703.0
1211,30512.0
1213,115999.0
1215,102907.0
1217,86401.0
1218,180000.0
1220,21481.0
1223,7200.0
1224,115000.0
1225,86309.0
1226,102036.0
1227,70000.0
1229,53703.0
1231,69814.0
1232,140000.0
1234,102500.0
1235,108000.0
1237,75601.0
1238,49972.0
1239,4618.0
1240,3279.0
1243,53541.0
1245,91295.0
1248,15095.0
1250,134258.0
1253,51507.0
1259,132000.0
1261,80555.0
1262,114461.0
1263,140000.0
1266,71962.0
1269,75000.0
1270,120000.0
1271,12889.0
1272,200000.0
1274,107406.0
1275,200000.0
1276,93000.0
1278,155250.0
1280,118147.0
1282,95541.0
1283,109039.0
1284,102000.0
1286,107887.0
1287,73036.0
1289,150000.0
1290,205000.0
1292,165000.0
1295,101910.0
1296,81629.0
1297,74874.0
1298,107406.0
1299,15466.0
1307,120000.0
1309,64444.0
1313,4762.0
1316,53703.0
1317,91500.0
1319,140000.0
1321,97000.0
1322,29756.0
1323,135200.0
1325,85983.0
1330,35000.0
1331,59073.0
1332,44304.0
1336,214812.0
1338,53503.0
1339,107406.0
1340,23311.0
1341,144002.0
1342,38666.0
1343,3051.0
1345,110000.0
1346,71814.0
1347,96227.0
1348,140000.0
1349,107406.0
1351,119810.0
1352,190000.0
1353,95708.0
1355,128887.0
1356,40276.0
1357,57425.0
1360,50467.0
1361,3618.0
1362,77332.0
1363,160000.0
1365,81681.0
1366,53703.0
1368,80555.0
1369,250000.0
1371,161109.0
1373,1181.0
1375,47134.0
1376,133600.0
1379,69814.0
1384,240000.0
1386,150000.0
1387,107406.0
1388,103110.0
1389,93443.0
1392,138117.0
1393,95708.0
1395,88000.0
1398,53703.0
1401,144000.0
1402,29621.0
1403,5000.0
1404,79201.0
1405,93244.0
1406,64444.0
1408,120000.0
1409,42962.0
1413,70888.0
1414,158000.0
1415,107630.0
1416,18649.0
1417,130541.0
1419,85184.0
1420,72001.0
1421,145000.0
1422,149000.0
1423,90000.0
1425,50000.0
1429,57999.0
1432,27934.0
1433,180000.0
1434,72693.0
1437,176800.0
1440,200000.0
1442,89147.0
1443,60546.0
1445,128887.0
1447,49889.0
1448,120000.0
1450,85925.0
1451,51426.0
1455,107406.0
1456,175000.0
1458,71337.0
1460,250000.0
1462,70000.0
1463,37592.0
1465,59073.0
1466,115000.0
1467,1507.0
1468,48333.0
1469,2529.0
1472,18649.0
1474,53703.0
1476,59073.0
1477,118147.0
1478,77951.0
1480,107406.0
1483,75000.0
1485,109009.0
1487,60235.0
1491,170000.0
1495,11844.0
1498,27540.0
1499,80000.0
1503,100962.0
1504,91295.0
1506,207662.0
1507,66592.0
1508,59073.0
1509,21640.0
1514,220000.0
1515,35806.0
1521,92692.0
1528,70000.0
1530,51555.0
1534,214812.0
1535,182000.0
1538,143000.0
1540,66000.0
1545,210000.0
1546,41960.0
1547,83000.0
1550,111417.0
1551,135000.0
1552,83777.0
1553,64444.0
1556,34108.0
1559,12000.0
1560,47259.0
1561,107406.0
1563,38216.0
1565,5940.0
1566,83651.0
1567,114649.0
1568,30573.0
1569,140000.0
1570,75184.0
1571,6714.0
1572,37800.0
1573,69814.0
1576,245000.0
1577,75184.0
1579,50911.0
1580,43616.0
1581,32000.0
1583,86870.0
1584,140000.0
1586,98986.0
1588,67666.0
1589,80555.0
1590,59515.0
1591,86597.0
1592,36000.0
1593,25000.0
1595,236294.0
1596,75000.0
1597,61436.0
1605,88073.0
1610,74110.0
1611,78300.0
1612,74239.0
1613,150000.0
1615,62629.0
1617,64444.0
1618,56925.0
1619,3867.0
1620,165000.0
1621,180000.0
1622,150000.0
1624,80953.0
1628,75184.0
1629,101910.0
1631,40000.0
1632,83000.0
1635,123517.0
1636,150369.0
1637,12029.0
1640,68740.0
1642,81123.0
1643,110000.0
1644,42564.0
