,YearsCodePro,EdLevelOrdinals,OrgSizeOrdinals,AgeOrdinals,ClusterLabel,HighIncomeDev,ClCentre_YearsCodePro,ClCentre_EdLevelOrdinals,ClCentre_OrgSizeOrdinals,ClCentre_AgeOrdinals
0,0.02,0.14285714285714285,0.029852985298529852,0.08333333333333337,0,False,0.09497168742921858,0.30569487138003526,0.03356762629830361,0.20191581728954325
5,0.02,0.14285714285714285,0.0058505850585058505,0.08333333333333337,0,False,0.09497168742921858,0.30569487138003526,0.03356762629830361,0.20191581728954325
6,0.18,0.42857142857142855,0.029852985298529852,0.25,0,False,0.09497168742921858,0.30569487138003526,0.03356762629830361,0.20191581728954325
10,0.24,0.42857142857142855,0.029852985298529852,0.25,0,False,0.09497168742921858,0.30569487138003526,0.03356762629830361,0.20191581728954325
13,0.1,0.42857142857142855,0.0013501350135013503,0.25,0,False,0.09497168742921858,0.30569487138003526,0.03356762629830361,0.20191581728954325
17,0.22,0.2857142857142857,0.029852985298529852,0.25,0,False,0.09497168742921858,0.30569487138003526,0.03356762629830361,0.20191581728954325
35,0.0,0.14285714285714285,0.0058505850585058505,0.08333333333333337,0,False,0.09497168742921858,0.30569487138003526,0.03356762629830361,0.20191581728954325
38,0.02,0.14285714285714285,0.029852985298529852,0.08333333333333337,0,False,0.09497168742921858,0.30569487138003526,0.03356762629830361,0.20191581728954325
46,0.08,0.42857142857142855,0.029852985298529852,0.08333333333333337,0,False,0.09497168742921858,0.30569487138003526,0.03356762629830361,0.20191581728954325
60,0.02,0.42857142857142855,0.0019001900190019003,0.08333333333333337,0,False,0.09497168742921858,0.30569487138003526,0.03356762629830361,0.20191581728954325
62,0.08,0.14285714285714285,0.2998799879987999,0.08333333333333337,0,False,0.09497168742921858,0.30569487138003526,0.03356762629830361,0.20191581728954325
71,0.2,0.42857142857142855,0.00045004500450045,0.25,0,False,0.09497168742921858,0.30569487138003526,0.03356762629830361,0.20191581728954325
94,0.2,0.42857142857142855,0.029852985298529852,0.25,0,False,0.09497168742921858,0.30569487138003526,0.03356762629830361,0.20191581728954325
95,0.36,0.42857142857142855,0.0013501350135013503,0.25,0,False,0.09497168742921858,0.30569487138003526,0.03356762629830361,0.20191581728954325
103,0.12,0.14285714285714285,0.029852985298529852,0.25,0,False,0.09497168742921858,0.30569487138003526,0.03356762629830361,0.20191581728954325
126,0.0,0.42857142857142855,0.0058505850585058505,0.08333333333333337,0,False,0.09497168742921858,0.30569487138003526,0.03356762629830361,0.20191581728954325
127,0.04,0.14285714285714285,0.0058505850585058505,0.08333333333333337,0,False,0.09497168742921858,0.30569487138003526,0.03356762629830361,0.20191581728954325
137,0.1,0.14285714285714285,0.00045004500450045,0.08333333333333337,0,False,0.09497168742921858,0.30569487138003526,0.03356762629830361,0.20191581728954325
143,0.04,0.42857142857142855,0.0019001900190019003,0.08333333333333337,0,False,0.09497168742921858,0.30569487138003526,0.03356762629830361,0.20191581728954325
158,0.3,0.2857142857142857,0.0,0.45833333333333337,0,False,0.09497168742921858,0.30569487138003526,0.03356762629830361,0.20191581728954325
159,0.06,0.14285714285714285,0.029852985298529852,0.08333333333333337,0,False,0.09497168742921858,0.30569487138003526,0.03356762629830361,0.20191581728954325
160,0.02,0.42857142857142855,0.0058505850585058505,0.08333333333333337,0,False,0.09497168742921858,0.30569487138003526,0.03356762629830361,0.20191581728954325
165,0.2,0.42857142857142855,0.029852985298529852,0.25,0,False,0.09497168742921858,0.30569487138003526,0.03356762629830361,0.20191581728954325
